ind_id	ind_name	ind_izm	ind_table
361	Kоличество кредитных организаций в регионе	ед.            	Table1.2
297	Количество филиалов в регионе кредитных организаций, головная организация которых находится в данном регионе	ед.            	Table1.2
298	Количество филиалов в регионе кредитных организаций, головная организация которых находится в другом регионе	ед.            	Table1.2
790	Количество филиалов в регионе, всего	ед.            	Table1.2
342	По депозитным операциям в валюте Российской Федерации	ед.            	Table1.9
312	По кредитным операциям в валюте Российской Федерации	ед.            	Table1.9
429	Kоличество кредитных организаций	ед.            	Table1.16
431	Kоличество кредитных организаций, составляющих 80% активов	ед.            	Table1.16
430	Активы	млн. руб.      	Table1.16
293	Kоличество кредитных организаций	ед.            	Table1.6
295	Kоличество кредитных организаций, составляющих 80% активов	ед.            	Table1.6
294	Активы	тыс. руб.      	Table1.6
602	Активы в иностранной валюте	тыс. руб.      	Tab26.1
601	Активы в рублях	тыс. руб.      	Tab26.1
604	Пассивы в иностранной валюте	тыс. руб.      	Tab26.1
603	Пассивы в рублях	тыс. руб.      	Tab26.1
210	Активы в иностранной валюте	тыс. руб.      	Table21.1
209	Активы в рублях	тыс. руб.      	Table21.1
212	Пассивы в иностранной валюте	тыс. руб.      	Table21.1
211	Пассивы в рублях	тыс. руб.      	Table21.1
214	Активы в иностранной валюте	тыс. руб.      	Table21.2
213	Активы в рублях	тыс. руб.      	Table21.2
216	Пассивы в иностранной валюте	тыс. руб.      	Table21.2
215	Пассивы в рублях	тыс. руб.      	Table21.2
299	До 3 млн. руб.	ед.            	Table1.4
301	От 10 до 30 млн. руб.	ед.            	Table1.4
304	От 150 до 300 млн. руб.	ед.            	Table1.4
300	От 3 до 10 млн. руб.	ед.            	Table1.4
302	От 30 до 60 млн. руб.	ед.            	Table1.4
305	От 300 млн. руб. и выше	ед.            	Table1.4
303	От 60 до 150 млн. руб.	ед.            	Table1.4
196	100 %	ед.            	Table1.5
192	До 1 %	ед.            	Table1.5
193	От 1 до 20 %	ед.            	Table1.5
194	От 20 до 50 %	ед.            	Table1.5
195	От 50 до 100 %	ед.            	Table1.5
398	До 10 млн. руб.	ед.            	Table1.14
399	От 10 до 30 млн. руб.	ед.            	Table1.14
402	От 150 до 300 млн. руб.	ед.            	Table1.14
400	От 30 до 60 млн. руб.	ед.            	Table1.14
403	От 300 млн. руб. и выше	ед.            	Table1.14
401	От 60 до 150 млн. руб.	ед.            	Table1.14
314	До 10 млн. руб.	ед.            	Table1.11
315	От 10 до 30 млн. руб.	ед.            	Table1.11
318	От 150 до 300 млн. руб.	ед.            	Table1.11
316	От 30 до 60 млн. руб.	ед.            	Table1.11
319	От 300 млн. руб. и выше	ед.            	Table1.11
317	От 60 до 150 млн. руб.	ед.            	Table1.11
644	по кредитам и прочим размещенным средствам, предоставленным нефинансовым организациям в иностранной валюте	тыс. руб.      	Tab30.2
643	по кредитам и прочим размещенным средствам, предоставленным нефинансовым организациям в рублях	тыс. руб.      	Tab30.2
648	по кредитам и прочим средствам, предоставленным физическим лицам в иностранной валюте	тыс. руб.      	Tab30.2
647	по кредитам и прочим средствам, предоставленным физическим лицам в рублях	тыс. руб.      	Tab30.2
646	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в иностранной валюте	тыс. руб.      	Tab30.2
645	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в рублях	тыс. руб.      	Tab30.2
252	по кредитам и прочим размещенным средствам, предоставленным нефинансовым предприятиям и организациям в иностранной валюте	тыс. руб.      	Table25.2
251	по кредитам и прочим размещенным средствам, предоставленным нефинансовым предприятиям и организациям в рублях	тыс. руб.      	Table25.2
254	по кредитам, депозитам и иным размещенным средствам, предоставленным банкам в иностранной валюте	тыс. руб.      	Table25.2
253	по кредитам, депозитам и иным размещенным средствам, предоставленным банкам в рублях	тыс. руб.      	Table25.2
256	по кредитам, предоставленным физическим лицам в иностранной валюте	тыс. руб.      	Table25.2
255	по кредитам, предоставленным физическим лицам в рублях	тыс. руб.      	Table25.2
638	по кредитам и прочим размещенным средствам, предоставленным нефинансовым организациям в иностранной валюте	тыс. руб.      	Tab30.1
637	по кредитам и прочим размещенным средствам, предоставленным организациям в рублях	тыс. руб.      	Tab30.1
642	по кредитам и прочим средствам, предоставленным физическим лицам в иностранной валюте	тыс. руб.      	Tab30.1
641	по кредитам и прочим средствам, предоставленным физическим лицам в рублях	тыс. руб.      	Tab30.1
640	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в иностранной валюте	тыс. руб.      	Tab30.1
639	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в рублях	тыс. руб.      	Tab30.1
246	по кредитам и прочим размещенным средствам, предоставленным нефинансовым предприятиям и организациям в иностранной валюте	тыс. руб.      	Table25.1
245	по кредитам и прочим размещенным средствам, предоставленным нефинансовым предприятиям и организациям в рублях	тыс. руб.      	Table25.1
248	по кредитам, депозитам и иным размещенным средствам, предоставленным банкам в иностранной валюте	тыс. руб.      	Table25.1
247	по кредитам, депозитам и иным размещенным средствам, предоставленным банкам в рублях	тыс. руб.      	Table25.1
250	по кредитам, предоставленным физическим лицам в иностранной валюте	тыс. руб.      	Table25.1
249	по кредитам, предоставленным физическим лицам в рублях	тыс. руб.      	Table25.1
452	Средства в иностранной валюте, привлеченные путем выпуска векселей	млн. руб.      	Table3.13
451	Средства в рублях, привлеченные путем выпуска векселей	млн. руб.      	Table3.13
149	Средства в иностранной валюте, привлеченные путем выпуска векселей	тыс. руб.      	Table3.6
148	Средства в рублях, привлеченные путем выпуска векселей	тыс. руб.      	Table3.6
536	Учтенные векселя с номиналом в  иностранной валюте	млн. руб.      	Table4.29
534	Учтенные векселя с номиналом в российских рублях - всего	млн. руб.      	Table4.29
535	Учтенные векселя с номиналом в российских рублях, в том числе: векселя органов исполнительной власти субъектов Российской Федерации, местного самоуправления и авалированные ими	млн. руб.      	Table4.29
157	Учтенные векселя с номиналом в  иностранной валюте	тыс. руб.      	Table4.6
155	Учтенные векселя с номиналом в российских рублях - всего	тыс. руб.      	Table4.6
156	Учтенные векселя с номиналом в российских рублях, в том числе: векселя органов власти субъектов Российской Федерации, местных органов власти и авалированные ими	тыс. руб.      	Table4.6
446	Прочие бюджетные средства	млн. руб.      	Table3.11
445	Средства бюджетов субъектов Российской Федерации и местных бюджетов	млн. руб.      	Table3.11
447	Средства внебюджетных фондов	млн. руб.      	Table3.11
444	Средства федерального бюджета	млн. руб.      	Table3.11
143	Прочие средства бюджетов	тыс. руб.      	Table3.4
142	Средства бюджетов субъектов Российской Федерации и местных бюджетов	тыс. руб.      	Table3.4
144	Средства внебюджетных фондов	тыс. руб.      	Table3.4
141	Средства федерального бюджета	тыс. руб.      	Table3.4
633	Всего	тыс. руб.      	Tab29.2
634	Кредиты и прочие размещенные средства, предоставленные нефинансовым организациям	тыс. руб.      	Tab29.2
636	Кредиты и прочие средства, предоставленные физическим лицам	тыс. руб.      	Tab29.2
635	Кредиты, депозиты и иные размещенные средства, предоставленные кредитным организациям	тыс. руб.      	Tab29.2
241	Всего	тыс. руб.      	Table24.2
242	Кредиты и прочие размещенные средства, предоставленные нефинансовым предприятиям и организациям	тыс. руб.      	Table24.2
243	Кредиты, депозиты и иные размещенные средства, предоставленные банкам	тыс. руб.      	Table24.2
244	Кредиты, предоставленные физическим лицам	тыс. руб.      	Table24.2
629	Всего	тыс. руб.      	Tab29.1
630	Кредиты и прочие размещенные средства, предоставленные нефинансовым организациям	тыс. руб.      	Tab29.1
632	Кредиты и прочие средства, предоставленные физическим лицам	тыс. руб.      	Tab29.1
631	Кредиты, депозиты и иные размещенные средства, предоставленные кредитным организациям	тыс. руб.      	Tab29.1
237	Всего	тыс. руб.      	Table24.1
238	Кредиты и прочие размещенные средства, предоставленные нефинансовым предприятиям и организациям	тыс. руб.      	Table24.1
239	Кредиты, депозиты и иные размещенные средства, предоставленные банкам	тыс. руб.      	Table24.1
240	Кредиты, предоставленные физическим лицам	тыс. руб.      	Table24.1
625	Всего	тыс. руб.      	Tab28.2
626	Кредиты и прочие размещенные средства, предоставленные нефинансовым организациям	тыс. руб.      	Tab28.2
628	Кредиты и прочие средства, предоставленные физическим лицам	тыс. руб.      	Tab28.2
627	Кредиты, депозиты и иные размещенные средства, предоставленные кредитным организациям	тыс. руб.      	Tab28.2
233	Всего	тыс. руб.      	Table23.2
234	Кредиты и прочие размещенные средства, предоставленные нефинансовым предприятиям и организациям	тыс. руб.      	Table23.2
235	Кредиты, депозиты и иные размещенные средства, предоставленные банкам	тыс. руб.      	Table23.2
236	Кредиты, предоставленные физическим лицам	тыс. руб.      	Table23.2
621	Всего	тыс. руб.      	Tab28.1
622	Кредиты и прочие размещенные средства, предоставленные нефинансовым организациям	тыс. руб.      	Tab28.1
624	Кредиты и прочие средства, предоставленные физическим лицам	тыс. руб.      	Tab28.1
