ind_table	tbl_name	cont
Table1.2	Kоличество действующих кредитных организаций и их филиалов	0
Table1.9	Kоличество кредитных организаций региона - контрагентов Банка России (01.10.2004 - 01.01.2007)	0
Table1.16	Kонцентрация активов действующих кредитных организаций	0
Table1.6	Kонцентрация активов действующих кредитных организаций (01.01.2001 - 01.04.2007)	0
Tab26.1	Активы и пассивы кредитных организаций (с сальдированием отдельных счетов), зарегистрированных в данном регионе	2
Table21.1	Активы и пассивы кредитных организаций (с сальдированием отдельных счетов), зарегистрированных в данном регионе (01.02.2003 - 01.01.2008)	2
Table21.2	Активы и пассивы с сальдированием отдельных счетов (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	2
Table1.4	Группировка действующих кредитных организаций по величине зарегистрированного уставного капитала	0
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	0
Table1.14	Группировка кредитных организаций, использующих право на усреднение обязательных резервов, по величине зарегистрированного уставного капитала	0
Table1.11	Группировка по величине зарегистрированного уставного капитала действующих кредитных организаций - контрагентов Банка России, заключивших генеральный кредитный договор (01.07.2005 - 01.01.2007)	0
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	2
Table25.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	2
Tab30.1	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам по кредитным организациям, зарегистрированным в данном регионе	2
Table25.1	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	2
Table3.13	Данные о суммах средств юридических и физических лиц, привлеченных путем выпуска кредитными организациями векселей	0
Table3.6	Данные о суммах средств юридических и физических лиц, привлеченных путем выпуска кредитными организациями векселей (01.01.2001 - 01.04.2007)	0
Table4.29	Данные о суммах учтенных кредитными организациями векселей	0
Table4.6	Данные о суммах учтенных кредитными организациями векселей (01.01.2001 - 01.04.2007)	0
Table3.11	Данные об объемах бюджетных средств на счетах кредитных организаций	0
Table3.4	Данные об объемах бюджетных средств на счетах кредитных организаций (01.01.2001 - 01.04.2007)	0
Tab29.2	Данные об объеме кредитов, депозитов и прочих размещенных средств в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	2
Table24.2	Данные об объеме кредитов, депозитов и прочих размещенных средств в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	2
Tab29.1	Данные об объеме кредитов, депозитов и прочих размещенных средств в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе	2
Table24.1	Данные об объеме кредитов, депозитов и прочих размещенных средств в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	2
